,City ,State ,Cert ,Acquiring Institution ,Fund,"Bank Name, City, State",Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions),Bank Name,Country
17,Cottonwood Heights,UT,35495,Cache Valley Bank,10525,"Proficio Bank, Cottonwood Heights, UT",3-Mar-17,$68.20 ,$65.00 ,Proficio Bank,US
18,Chicago,IL,19328,State Bank of Texas,10524,"Seaway Bank and Trust Company, Chicago, IL",27-Jan-17,$361.20 ,$307.10 ,Seaway Bank and Trust Company,US
19,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,10523,"Harvest Community Bank, Pennsville, NJ",13-Jan-17,$126.40 ,$123.80 ,Harvest Community Bank,US
20,Mulberry,AR,91,Today's Bank,10522,"Allied Bank, Mulberry, AR",23-Sep-16,$66.30 ,$64.70 ,Allied Bank,US
21,Woodbury,GA,11297,United Bank,10521,"The Woodbury Banking Company, Woodbury, GA",19-Aug-16,$21.40 ,$21.10 ,The Woodbury Banking Company,US
22,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,10520,"First CornerStone Bank, King of Prussia, PA",6-May-16,$103.30 ,$101.00 ,First CornerStone Bank,US
23,Memphis,TN,9956,The Bank of Fayette County,10519,"Trust Company Bank, Memphis, TN",29-Apr-16,$20.70 ,$20.30 ,Trust Company Bank,US
24,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,10518,"North Milwaukee State Bank, Milwaukee, WI",11-Mar-16,$67.10 ,$61.50 ,North Milwaukee State Bank,US
25,Longview,WA,35156,Twin City Bank,10517,"Hometown National Bank, Longview, WA",2-Oct-15,$4.90 ,$4.70 ,Hometown National Bank,US
26,Peachtree City,GA,35259,Fidelity Bank,10516,"The Bank of Georgia, Peachtree City, GA",2-Oct-15,$294.20 ,$280.70 ,The Bank of Georgia,US
27,Denver,CO,34112,"United Fidelity Bank, fsb",10515,"Premier Bank, Denver, CO",10-Jul-15,$31.70 ,$29.60 ,Premier Bank,US
28,Chicago,IL,57772,Republic Bank of Chicago,10514,"Edgebrook Bank, Chicago, IL",8-May-15,$90.00 ,$90.00 ,Edgebrook Bank,US
29,San Juan,PR,32102,Banco Popular de Puerto Rico,10513,"Doral Bank, San Juan, PR",27-Feb-15,"$5,900.00 ","$4,100.00 ",Doral Bank,US
30,Atlanta,GA,33938,First-Citizens Bank & Trust Company,10512,"Capitol City Bank & Trust Company, Atlanta, GA",13-Feb-15,$272.30 ,$262.70 ,Capitol City Bank & Trust Company,US
31,Chicago,IL,20290,"United Fidelity Bank, fsb",10511,"Highland Community Bank, Chicago, IL",23-Jan-15,$54.70 ,$53.50 ,Highland Community Bank,US
32,Crestview,FL,17557,First NBC Bank,10510,"First National Bank of Crestview, Crestview, FL",16-Jan-15,$79.70 ,$78.60 ,First National Bank of Crestview,US
33,Mankato,MN,34983,BankVista,10509,"Northern Star Bank, Mankato, MN",19-Dec-14,$18.80 ,$18.20 ,Northern Star Bank,US
34,Chicago,IL,916,State Bank of Texas,10507,"The National Republic Bank of Chicago, Chicago, IL",24-Oct-14,$954.40 ,$915.30 ,The National Republic Bank of Chicago,US
35,Rising Sun,MD,4862,Howard Bank,10506,"NBRS Financial, Rising Sun, MD",17-Oct-14,$188.20 ,$183.10 ,NBRS Financial,US
36,Conyers,GA,58125,Community & Southern Bank,10504,"Eastside Commercial Bank, Conyers, GA",18-Jul-14,$169.00 ,$161.60 ,Eastside Commercial Bank,US
37,Freedom,OK,12483,Alva State Bank & Trust Company,10503,"The Freedom State Bank, Freedom, OK",27-Jun-14,$22.80 ,$20.90 ,The Freedom State Bank,US
38,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",10501,"Valley Bank, Fort Lauderdale, FL",20-Jun-14,$81.80 ,$66.50 ,Valley Bank,US
39,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",10501,"Valley Bank, Moline, IL",20-Jun-14,$456.40 ,$360.00 ,Valley Bank,US
40,Moline,IL,10450,Great Southern Bank,10502,"Valley Bank, Fort Lauderdale, FL",20-Jun-14,$81.80 ,$66.50 ,Valley Bank,US
41,Moline,IL,10450,Great Southern Bank,10502,"Valley Bank, Moline, IL",20-Jun-14,$456.40 ,$360.00 ,Valley Bank,US
42,Bel Air,MD,32368,"Bay Bank, FSB",10500,"Slavie Federal Savings Bank, Bel Air, MD",30-May-14,$140.10 ,$111.10 ,Slavie Federal Savings Bank,US
43,Cincinnati,OH,32284,"United Fidelity Bank, fsb",10499,"Columbia Savings Bank, Cincinnati, OH",23-May-14,$36.50 ,$29.50 ,Columbia Savings Bank,US
44,Berwyn,IL,57866,Republic Bank of Chicago,10498,"AztecAmerica Bank, Berwyn, IL",16-May-14,$66.30 ,$65.00 ,AztecAmerica Bank,US
45,Fairfax,SC,15062,Palmetto State Bank,10497,"Allendale County Bank, Fairfax, SC",25-Apr-14,$54.50 ,$51.00 ,Allendale County Bank,US
46,Horsham,PA,58531,First Choice Bank,10496,"Vantage Point Bank, Horsham, PA",28-Feb-14,$63.50 ,$62.50 ,Vantage Point Bank,US
47,Boise,ID,34296,Sunwest Bank,10494,"Syringa Bank, Boise, ID",31-Jan-14,$153.40 ,$145.10 ,Syringa Bank,US
48,El Reno,OK,17967,BancFirst,10493,"The Bank of Union, El Reno, OK",24-Jan-14,$331.40 ,$328.80 ,The Bank of Union,US
49,West Chicago,IL,5732,Republic Bank of Chicago,10492,"DuPage National Bank, West Chicago, IL",17-Jan-14,$61.70 ,$59.60 ,DuPage National Bank,US
50,Graceville,FL,14794,First Federal Bank of Florida,10490,"Bank of Jackson County, Graceville, FL",30-Oct-13,$25.50 ,$25.00 ,Bank of Jackson County,US
51,Bridgeport,CT,57041,No Acquirer,10489,"The Community's Bank, Bridgeport, CT",13-Sep-13,$26.30 ,$25.70 ,The Community's Bank,US
